repo_full_name,repo_url,repo_stars,repo_language,issues,median_ttc_days,avg_comments
mozilla/neqo,https://github.com/mozilla/neqo,2035,Rust,3,102.84221064814815,2.0
dask/distributed,https://github.com/dask/distributed,1651,Python,3,3.3024189814814813,10.333333333333334
narwhals-dev/narwhals,https://github.com/narwhals-dev/narwhals,1297,Python,3,1.2540393518518518,0.3333333333333333
mxsm/rocketmq-rust,https://github.com/mxsm/rocketmq-rust,1296,Rust,3,0.037395833333333336,0.0
pymc-labs/pymc-marketing,https://github.com/pymc-labs/pymc-marketing,943,Python,3,262.4899189814815,2.0
r-lib/testthat,https://github.com/r-lib/testthat,911,R,3,249.13894675925926,3.3333333333333335
chatmail/core,https://github.com/chatmail/core,776,Rust,3,1.6849768518518518,1.6666666666666667
AztecProtocol/aztec-packages,https://github.com/AztecProtocol/aztec-packages,364,C++,3,14.533877314814815,0.0
Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,352,TypeScript,3,7.969525462962963,1.3333333333333333
mskelton/eslint-plugin-playwright,https://github.com/mskelton/eslint-plugin-playwright,345,TypeScript,3,17.59929398148148,1.3333333333333333
Scille/parsec-cloud,https://github.com/Scille/parsec-cloud,294,Rust,3,27.144699074074072,0.3333333333333333
terrapower/armi,https://github.com/terrapower/armi,254,Python,3,3.774212962962963,0.6666666666666666
intel/intel-xpu-backend-for-triton,https://github.com/intel/intel-xpu-backend-for-triton,208,MLIR,3,4.219756944444445,2.6666666666666665
gpuweb/cts,https://github.com/gpuweb/cts,159,TypeScript,3,3.9709606481481483,2.3333333333333335
EspressoSystems/espresso-network,https://github.com/EspressoSystems/espresso-network,157,Rust,3,2.2061458333333333,2.6666666666666665
teemtee/tmt,https://github.com/teemtee/tmt,141,Python,3,36.61278935185185,3.0
eclipse-platform/eclipse.platform,https://github.com/eclipse-platform/eclipse.platform,131,Java,3,34.20186342592593,3.3333333333333335
AntelopeIO/leap,https://github.com/AntelopeIO/leap,121,C++,3,1.6067708333333333,3.0
wazuh/wazuh-qa,https://github.com/wazuh/wazuh-qa,67,Python,3,29.13142361111111,2.6666666666666665
loculus-project/loculus,https://github.com/loculus-project/loculus,58,TypeScript,3,19.85744212962963,3.0
